,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4148,4273,Crash Nitro Kart,Nintendo Game Boy Advance,2003,Racing,Vivendi Games,0.33,0.12,0.0,0.01,0.46
4149,4274,Star Wars The Clone Wars: Republic Heroes,Sony PlayStation 3,2009,Action,LucasArts,0.19,0.19,0.0,0.07,0.46
4150,4275,Farming Simulator 2015,Sony PlayStation 3,2015,Simulation,Koch Media,0.11,0.28,0.0,0.07,0.46
4151,4276,Bleach: The Blade of Fate,Nintendo DS,2006,Fighting,Sega,0.3,0.01,0.12,0.03,0.46
4152,4277,Madden NFL 12,Nintendo Wii,2011,Sports,Electronic Arts,0.43,0.0,0.0,0.03,0.46
4153,4278,LEGO Rock Band,Nintendo DS,2009,Misc,Warner Bros. Interactive Entertainment,0.33,0.09,0.0,0.04,0.46
4154,4279,Mad Max (2015),Microsoft Xbox One,2015,Action,Warner Bros. Interactive Entertainment,0.26,0.16,0.0,0.04,0.46
4155,4280,"Barbie: Jet, Set & Style!",Nintendo DS,2011,Misc,THQ,0.37,0.05,0.0,0.03,0.46
4156,4281,Jak and Daxter: The Lost Frontier,Sony PlayStation 2,2009,Platform,Sony Computer Entertainment,0.22,0.17,0.0,0.06,0.46
4157,4282,Momotarou Dentetsu 11,Sony PlayStation 2,2002,Misc,Hudson Soft,0.0,0.0,0.46,0.0,0.46
4158,4283,Command & Conquer: Red Alert 3,Microsoft Xbox 360,2008,Strategy,Electronic Arts,0.18,0.23,0.0,0.05,0.46
4159,4284,Tomb Raider: Legend,Sony PlayStation Portable,2006,Action,Eidos Interactive,0.09,0.24,0.0,0.12,0.46
4160,4285,Skylanders: SuperChargers,Microsoft Xbox 360,2015,Action,Activision,0.24,0.18,0.0,0.04,0.46
4161,4286,The Golden Compass,Microsoft Xbox 360,2007,Action,Sega,0.3,0.12,0.0,0.04,0.46
4162,4287,Star Wars: Demolition,Sony PlayStation,2000,Racing,Activision,0.25,0.17,0.0,0.03,0.46
4163,4288,Scooby-Doo! and the Spooky Swamp,Nintendo Wii,2010,Action,Warner Bros. Interactive Entertainment,0.29,0.13,0.0,0.04,0.46
4164,4289,Sword Art Online: Lost Song,Sony Playstation Vita,2015,Role-Playing,Namco Bandai Games,0.08,0.1,0.23,0.05,0.46
4165,4290,Bloody Roar II,Sony PlayStation,1999,Fighting,Virgin Interactive,0.25,0.17,0.0,0.03,0.46
4166,4291,Delta Force: Black Hawk Down,Sony PlayStation 2,2005,Shooter,NovaLogic,0.22,0.17,0.0,0.06,0.46
4167,4292,Burnout Dominator,Sony PlayStation Portable,2007,Racing,Electronic Arts,0.02,0.38,0.01,0.06,0.46
4168,4293,NBA Live 07,Microsoft Xbox 360,2006,Sports,Electronic Arts,0.42,0.0,0.0,0.04,0.46
4169,4294,Vin Diesel: Wheelman,Microsoft Xbox 360,2009,Racing,Ubisoft,0.24,0.17,0.0,0.05,0.46
4170,4295,Space Invaders,Super Nintendo Entertainment System,1994,Shooter,Taito,0.0,0.0,0.46,0.0,0.46
4171,4296,.hack//Outbreak Part 3,Sony PlayStation 2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46
4172,4297,Rayman Legends,Microsoft Xbox 360,2013,Platform,Ubisoft,0.19,0.23,0.0,0.04,0.46
4173,4298,Mother 1+2,Nintendo Game Boy Advance,2003,Role-Playing,Nintendo,0.0,0.0,0.45,0.01,0.46
4174,4299,Hyperdimension Neptunia,Sony PlayStation 3,2010,Role-Playing,Tecmo Koei,0.22,0.11,0.07,0.05,0.46
4175,4300,iCarly,Nintendo Wii,2009,Adventure,Activision,0.42,0.0,0.0,0.03,0.46
4176,4301,Puzzle & Dragons Z + Super Mario Bros. Edition,Nintendo 3DS,2015,Puzzle,Nintendo,0.05,0.05,0.34,0.01,0.46
4177,4302,Harry Potter and the Deathly Hallows - Part 1,Microsoft Xbox 360,2010,Action,Electronic Arts,0.21,0.2,0.0,0.04,0.46
4178,4303,Top Spin,Microsoft Xbox,2003,Sports,Microsoft Game Studios,0.36,0.08,0.0,0.02,0.46
4179,4304,Disney Guilty Party,Nintendo Wii,2010,Misc,Disney Interactive Studios,0.43,0.0,0.0,0.03,0.46
4180,4305,Warhawk,Sony PlayStation,1995,Simulation,Sony Computer Entertainment,0.25,0.17,0.0,0.03,0.46
4181,4306,Pirates of the Caribbean: At World's End,Nintendo Wii,2007,Action,Disney Interactive Studios,0.39,0.02,0.01,0.04,0.46
4182,4307,Red Faction: Armageddon,Sony PlayStation 3,2011,Shooter,THQ,0.2,0.16,0.03,0.07,0.46
4183,4308,DanceStar Party,Sony PlayStation 3,2011,Misc,Sony Computer Entertainment,0.0,0.35,0.0,0.1,0.46
4184,4309,Persona 4: Dancing All Night,Sony Playstation Vita,2015,Misc,Nippon Ichi Software,0.13,0.1,0.15,0.07,0.46
4185,4310,Tales of Vesperia,Sony PlayStation 3,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.45,0.0,0.45
4186,4311,Thief (2014),Microsoft Xbox One,2014,Action,Square Enix,0.26,0.15,0.0,0.04,0.45
4187,4312,Dynasty Warriors: Strikeforce,Sony PlayStation Portable,2009,Action,Ubisoft Annecy,0.03,0.03,0.38,0.02,0.45
4188,4313,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,Nintendo Game Boy Advance,2005,Platform,THQ,0.33,0.12,0.0,0.01,0.45
4189,4314,Tales of Hearts,Sony Playstation Vita,2013,Role-Playing,Namco Bandai Games,0.15,0.13,0.09,0.08,0.45
4190,4315,Missile Command,Sony PlayStation,1999,Shooter,Atari,0.25,0.17,0.0,0.03,0.45
4191,4316,Lego Batman 3: Beyond Gotham,Nintendo 3DS,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.21,0.0,0.04,0.45
4192,4317,Barbie as The Island Princess,Nintendo Wii,2007,Adventure,Activision,0.42,0.0,0.0,0.03,0.45
4193,4318,Jikkyou Powerful Pro Yakyuu 3,Super Nintendo Entertainment System,1996,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0,0.45
4194,4319,The Walking Dead: Season One,Sony PlayStation 4,2014,Adventure,Telltale Games,0.12,0.25,0.01,0.08,0.45
4195,4320,Jikkyou Powerful Pro Yakyuu 12,Sony PlayStation 2,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0,0.45
4196,4321,Enter the Matrix,Nintendo GameCube,2003,Action,Atari,0.34,0.09,0.02,0.01,0.45
4197,4322,Crash: Mind Over Mutant,Nintendo Wii,2008,Platform,Vivendi Games,0.36,0.06,0.0,0.03,0.45
4198,4323,NASCAR 2005: Chase for the Cup,Microsoft Xbox,2004,Racing,Electronic Arts,0.34,0.1,0.0,0.02,0.45
4199,4324,J-League Excite Stage '95,Super Nintendo Entertainment System,1995,Sports,Epoch,0.0,0.0,0.45,0.0,0.45
4200,4325,The New York Times Crosswords,Nintendo DS,2007,Puzzle,Majesco Entertainment,0.42,0.0,0.0,0.03,0.45
4201,4326,Phantasy Star Online Episode I & II,Nintendo GameCube,2002,Role-Playing,Infogrames,0.23,0.06,0.16,0.01,0.45
4202,4327,Moshi Monsters: Moshlings Theme Park,Nintendo DS,2012,Misc,Activision,0.03,0.37,0.0,0.05,0.45
4203,4328,The Powerpuff Girls: Relish Rampage,Sony PlayStation 2,2002,Action,BAM! Entertainment,0.22,0.17,0.0,0.06,0.45
4204,4329,Resistance: Burning Skies,Sony Playstation Vita,2012,Shooter,Sony Computer Entertainment,0.21,0.16,0.02,0.07,0.45
4205,4330,NBA 2K13,Nintendo Wii,2012,Sports,Take-Two Interactive,0.39,0.03,0.0,0.03,0.45
4206,4331,Dead or Alive: Dimensions,Nintendo 3DS,2011,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,0.45
4207,4333,Brain Challenge,Nintendo DS,2008,Misc,Ubisoft,0.41,0.01,0.0,0.03,0.45
4208,4334,NFL Head Coach,Sony PlayStation 2,2006,Sports,Electronic Arts,0.38,0.01,0.0,0.06,0.45
4209,4335,Watch Dogs,PC,2014,Action,Ubisoft,0.14,0.26,0.0,0.05,0.45
4210,4336,Karaoke Revolution Presents American Idol Encore,Nintendo Wii,2008,Misc,Konami Digital Entertainment,0.42,0.0,0.0,0.03,0.45
4211,4337,Major League Baseball 2K11,Microsoft Xbox 360,2011,Sports,Take-Two Interactive,0.4,0.03,0.0,0.03,0.45
4212,4338,Enemy Territory: Quake Wars,Microsoft Xbox 360,2008,Shooter,Activision,0.3,0.11,0.0,0.04,0.45
4213,4340,NCAA Gamebreaker 99,Sony PlayStation,1998,Sports,989 Studios,0.25,0.17,0.0,0.03,0.45
4214,4341,Area 51,Sony PlayStation 2,2005,Shooter,Midway Games,0.22,0.17,0.0,0.06,0.45
4215,4342,World Stadium 2,Sony PlayStation,1998,Sports,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45
4216,4343,Sega Rally Revo,Microsoft Xbox 360,2007,Racing,Sega,0.12,0.28,0.0,0.05,0.45
4217,4344,NHL 2005,Sony PlayStation 2,2004,Sports,Electronic Arts,0.22,0.17,0.0,0.06,0.45
4218,4345,TNA iMPACT!,Microsoft Xbox 360,2008,Fighting,Midway Games,0.26,0.15,0.0,0.04,0.45
4219,4346,Star Wars Jedi Knight: Jedi Academy,Microsoft Xbox,2003,Shooter,Activision,0.34,0.1,0.0,0.02,0.45
4220,4347,Thrillville: Off the Rails,Nintendo Wii,2007,Strategy,LucasArts,0.39,0.02,0.0,0.03,0.45
4221,4349,Spider-Man: Shattered Dimensions,Sony PlayStation 3,2010,Action,Activision,0.26,0.13,0.0,0.06,0.45
4222,4350,F.E.A.R. 3,Microsoft Xbox 360,2011,Shooter,Warner Bros. Interactive Entertainment,0.3,0.11,0.01,0.04,0.45
4223,4351,My Fashion Studio,Nintendo DS,2007,Misc,Ubisoft,0.41,0.01,0.0,0.03,0.45
4224,4352,Plants vs. Zombies: Garden Warfare 2,Sony PlayStation 4,2016,Shooter,Electronic Arts,0.17,0.21,0.0,0.07,0.45
4225,4353,Rock Band Country Track Pack,Nintendo Wii,2009,Misc,MTV Games,0.42,0.0,0.0,0.03,0.45
4226,4354,Pro Evolution Soccer 2016,Sony PlayStation 3,2015,Sports,Konami Digital Entertainment,0.08,0.18,0.15,0.05,0.45
4227,4355,Apocalypse,Sony PlayStation,1998,Action,Activision,0.25,0.17,0.0,0.03,0.45
4228,4356,Transformers: Revenge of the Fallen (Wii & PS2 Version),Nintendo DS,2009,Action,Activision,0.27,0.14,0.0,0.04,0.45
4229,4357,PES 2009: Pro Evolution Soccer,Nintendo Wii,2009,Sports,Konami Digital Entertainment,0.09,0.26,0.05,0.05,0.45
4230,4358,Yu-Gi-Oh! Destiny Board Traveler,Nintendo Game Boy Advance,2004,Misc,Konami Digital Entertainment,0.32,0.12,0.0,0.01,0.45
4231,4359,SingStar Queen,Sony PlayStation 3,2009,Misc,Sony Computer Entertainment,0.11,0.26,0.0,0.08,0.45
4232,4360,God Eater 2,Sony Playstation Vita,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.45,0.0,0.45
4233,4361,Samurai Warriors 3,Nintendo Wii,2009,Action,Nintendo,0.1,0.02,0.32,0.01,0.45
4234,4362,World Soccer Winning Eleven 5 Final Evolution,Sony PlayStation 2,2001,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0,0.45
4235,4363,One Piece: Pirate Warriors 3,Sony PlayStation 4,2015,Action,Namco Bandai Games,0.08,0.22,0.1,0.05,0.45
4236,4364,Sphinx and the Cursed Mummy,Sony PlayStation 2,2003,Action,THQ,0.22,0.17,0.0,0.06,0.45
4237,4365,Fatal Fury 2,Super Nintendo Entertainment System,1993,Fighting,Takara,0.0,0.0,0.45,0.0,0.45
4238,4366,Rampage World Tour,Nintendo 64,1998,Action,GT Interactive,0.36,0.08,0.0,0.01,0.45
4239,4367,Pokemon Puzzle League,Nintendo 64,2000,Puzzle,Nintendo,0.36,0.08,0.0,0.01,0.45
4240,4368,Eternal Sonata,Sony PlayStation 3,2008,Role-Playing,Atari,0.19,0.13,0.07,0.06,0.45
4241,4369,Dance Dance Revolution: Hottest Party 3,Nintendo Wii,2009,Simulation,Konami Digital Entertainment,0.26,0.14,0.0,0.04,0.45
4242,4370,FIFA 15,Nintendo 3DS,2014,Sports,Electronic Arts,0.09,0.33,0.0,0.03,0.45
4243,4371,Petz: Catz 2,Nintendo Wii,2007,Simulation,Ubisoft,0.41,0.01,0.0,0.03,0.45
4244,4372,Bee Movie Game,Nintendo DS,2007,Action,Activision,0.41,0.0,0.0,0.03,0.45
4245,4373,Tekken Advance,Nintendo Game Boy Advance,2001,Fighting,Infogrames,0.32,0.12,0.0,0.01,0.45
4246,4374,Shin Megami Tensei: Persona 3,Sony PlayStation 2,2006,Role-Playing,Tecmo Koei,0.22,0.03,0.0,0.2,0.45
4247,4375,Persona,Sony PlayStation,1995,Role-Playing,Atlus,0.0,0.0,0.42,0.03,0.45
4248,4376,Band Hero,Nintendo DS,2009,Misc,Activision,0.21,0.19,0.0,0.05,0.45
4249,4377,Naruto Shippuden: Ultimate Ninja Storm Generations,Microsoft Xbox 360,2012,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.45
4250,4378,Hot Wheels: Stunt Track Challenge,Nintendo Game Boy Advance,2004,Racing,THQ,0.32,0.12,0.0,0.01,0.45
4251,4379,Viking: Battle for Asgard,Microsoft Xbox 360,2008,Action,Sega,0.16,0.24,0.0,0.05,0.45
4252,4381,Mobile Suit Gundam,Sony PlayStation,1995,Action,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45
4253,4383,SingStar Take That,Sony PlayStation 2,2009,Misc,Sony Computer Entertainment,0.0,0.06,0.0,0.39,0.45
4254,4384,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Sony PlayStation Portable,2010,Shooter,Sony Computer Entertainment,0.17,0.13,0.06,0.08,0.45
4255,4385,Final Fantasy Collection,Sony PlayStation,1999,Role-Playing,Square,0.0,0.0,0.42,0.03,0.45
4256,4386,Disney Sing It! High School Musical 3: Senior Year,Sony PlayStation 2,2008,Misc,Disney Interactive Studios,0.09,0.02,0.0,0.34,0.45
4257,4387,NBA Live 10,Microsoft Xbox 360,2009,Sports,Electronic Arts,0.4,0.02,0.0,0.03,0.45
4258,4388,Samurai Warriors: Xtreme Legends,Sony PlayStation 2,2004,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45
4259,4389,Tony Hawk's Proving Ground,Sony PlayStation 3,2007,Sports,Activision,0.36,0.05,0.0,0.05,0.45
4260,4390,NHL FaceOff,Sony PlayStation,1994,Sports,Sony Computer Entertainment,0.25,0.17,0.0,0.03,0.45
4261,4391,WWE WrestleMania 21,Microsoft Xbox,2005,Fighting,THQ,0.34,0.1,0.0,0.02,0.45
4262,4392,Brunswick Pro Bowling,Microsoft Xbox 360,2010,Sports,505 Games,0.38,0.04,0.0,0.03,0.45
4263,4393,Worms: Open Warfare 2,Sony PlayStation Portable,2007,Strategy,THQ,0.04,0.26,0.0,0.14,0.45
4264,4394,NBA Live 2005,Nintendo GameCube,2004,Sports,Electronic Arts,0.35,0.09,0.0,0.01,0.45
4265,4396,WWE Day of Reckoning,Nintendo GameCube,2004,Fighting,THQ,0.35,0.09,0.0,0.01,0.45
4266,4397,Dragon Quest Heroes: Rocket Slime,Nintendo DS,2005,Action,Square Enix,0.13,0.0,0.31,0.01,0.45
4267,4398,ATV Quad Power Racing 2,Microsoft Xbox,2003,Racing,Acclaim Entertainment,0.36,0.07,0.0,0.01,0.45
4268,4399,Walt Disney World Quest: Magical Racing Tour,Sony PlayStation,2000,Racing,Eidos Interactive,0.25,0.17,0.0,0.03,0.45
4269,4400,Sled Storm,Sony PlayStation 2,2002,Racing,Electronic Arts,0.22,0.17,0.0,0.06,0.45
4270,4401,Vandal Hearts,Sony PlayStation,1996,Role-Playing,Konami Digital Entertainment,0.14,0.09,0.19,0.03,0.45
4271,4402,Mario Tennis Ultra Smash,Nintendo Wii U,2015,Sports,Nintendo,0.13,0.16,0.13,0.03,0.45
4272,4403,Celebrity Sports Showdown,Nintendo Wii,2008,Sports,Electronic Arts,0.18,0.22,0.0,0.05,0.45
4273,4405,Scooby-Doo! Mystery Mayhem,Sony PlayStation 2,2004,Action,THQ,0.22,0.17,0.0,0.06,0.45
4274,4406,Mario Golf: Advance Tour,Nintendo Game Boy Advance,2004,Sports,Nintendo,0.32,0.12,0.0,0.01,0.45
4275,4407,Crash: Mind Over Mutant,Sony PlayStation Portable,2008,Platform,Vivendi Games,0.11,0.22,0.0,0.12,0.45
4276,4408,Karaoke Revolution,Nintendo Wii,2009,Misc,Konami Digital Entertainment,0.24,0.16,0.0,0.04,0.45
4277,4409,Discovery Kids: Kitten Corner,Nintendo DS,2009,Simulation,505 Games,0.42,0.0,0.0,0.03,0.45
4278,4410,Just Dance 2014,Microsoft Xbox One,2013,Misc,Ubisoft,0.3,0.11,0.0,0.04,0.45
4279,4411,Yu-Gi-Oh! Capsule Monster Coliseum,Sony PlayStation 2,2004,Misc,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44
4280,4412,Payday 2,Sony PlayStation 3,2013,Shooter,505 Games,0.21,0.15,0.0,0.08,0.44
4281,4413,Major League Baseball 2K6,Sony PlayStation 2,2006,Sports,Spike,0.37,0.01,0.0,0.06,0.44
4282,4414,Jampack Volume 13 (RP-M),Sony PlayStation 2,2005,Misc,Sony Computer Entertainment,0.37,0.01,0.0,0.06,0.44
4283,4415,World Soccer Winning Eleven 9,Microsoft Xbox,2005,Sports,Konami Digital Entertainment,0.06,0.33,0.02,0.03,0.44
4284,4416,NBA Live 2000,Nintendo 64,1999,Sports,Electronic Arts,0.42,0.02,0.0,0.0,0.44
4285,4417,Teenage Mutant Ninja Turtles 2: Battle Nexus,Sony PlayStation 2,2004,Action,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44
4286,4418,"SpongeBob SquarePants: Lights, Camera, Pants!",Sony PlayStation 2,2005,Misc,THQ,0.37,0.01,0.0,0.06,0.44
4287,4419,Disney Infinity 3.0,Microsoft Xbox 360,2015,Action,Disney Interactive Studios,0.19,0.21,0.0,0.04,0.44
4288,4420,TouchMaster 3,Nintendo DS,2009,Puzzle,Warner Bros. Interactive Entertainment,0.3,0.11,0.0,0.04,0.44
4289,4421,The Thing,Sony PlayStation 2,2002,Adventure,Vivendi Games,0.22,0.17,0.0,0.06,0.44
4290,4422,Disney Infinity 3.0,Nintendo Wii U,2015,Action,Disney Interactive Studios,0.2,0.21,0.0,0.04,0.44
4291,4423,Van Helsing,Sony PlayStation 2,2004,Action,Activision,0.22,0.17,0.0,0.06,0.44
4292,4424,X-Men Legends II: Rise of Apocalypse,Microsoft Xbox,2005,Role-Playing,Activision,0.3,0.12,0.0,0.02,0.44
4293,4425,Food Network: Cook or Be Cooked,Nintendo Wii,2009,Misc,Namco Bandai Games,0.41,0.0,0.0,0.03,0.44
4294,4426,Transformers: Fall of Cybertron,Microsoft Xbox 360,2012,Action,Activision,0.28,0.13,0.0,0.04,0.44
4295,4427,Metro: Last Light,Sony PlayStation 3,2013,Action,Deep Silver,0.14,0.2,0.03,0.08,0.44
4296,4428,The Urbz: Sims in the City (all regions sales),Nintendo DS,2004,Simulation,Electronic Arts,0.4,0.01,0.02,0.0,0.44
4297,4429,Spawn: Armageddon,Sony PlayStation 2,2003,Action,Electronic Arts,0.22,0.17,0.0,0.06,0.44
4298,4430,The Godfather (US sales),Microsoft Xbox,2006,Action,Electronic Arts,0.33,0.1,0.0,0.02,0.44
4299,4431,DmC: Devil May Cry,Microsoft Xbox 360,2013,Action,Capcom,0.26,0.13,0.01,0.04,0.44
4300,4432,Plants vs. Zombies: Garden Warfare 2,Microsoft Xbox One,2016,Shooter,Electronic Arts,0.26,0.15,0.0,0.04,0.44
4301,4433,World Stadium EX,Sony PlayStation,1996,Sports,Namco Bandai Games,0.0,0.0,0.41,0.03,0.44
4302,4434,Tiger Woods PGA Tour 2003,Microsoft Xbox,2002,Sports,Electronic Arts,0.35,0.08,0.0,0.01,0.44
4303,4435,Battlefield 2: Modern Combat,Sony PlayStation 2,2005,Shooter,Electronic Arts,0.37,0.01,0.0,0.06,0.44
4304,4436,G-Force,Nintendo Wii,2009,Action,Disney Interactive Studios,0.19,0.2,0.0,0.05,0.44
4305,4437,Ben 10 Alien Force: Vilgax Attacks,Nintendo Wii,2009,Action,D3Publisher,0.25,0.15,0.0,0.04,0.44
4306,4438,50 Cent: Bulletproof,Microsoft Xbox,2005,Action,Vivendi Games,0.33,0.1,0.0,0.02,0.44
4307,4439,Densetsu no Stafi 2,Nintendo Game Boy Advance,2003,Platform,Nintendo,0.0,0.0,0.43,0.01,0.44
4308,4440,Independence Day,Sony PlayStation,1997,Shooter,Fox Interactive,0.25,0.17,0.0,0.03,0.44
4309,4441,Need for Speed: Shift 2 Unleashed,Microsoft Xbox 360,2011,Racing,Electronic Arts,0.18,0.22,0.0,0.04,0.44
4310,4442,Chocobo Racing,Sony PlayStation,1999,Racing,SquareSoft,0.07,0.05,0.3,0.03,0.44
4311,4443,Ninja Gaiden 3,Sony PlayStation 3,2012,Action,Tecmo Koei,0.19,0.1,0.11,0.05,0.44
4312,4444,Child of Eden,Microsoft Xbox 360,2011,Shooter,Ubisoft,0.28,0.12,0.0,0.04,0.44
4313,4445,LEGO Star Wars II: The Original Trilogy,Microsoft Xbox,2006,Action,LucasArts,0.33,0.1,0.0,0.02,0.44
4314,4446,Family Fest Presents Circus Games,Nintendo Wii,2008,Misc,Ubisoft,0.1,0.29,0.0,0.05,0.44
4315,4447,My Spanish Coach,Nintendo DS,2007,Misc,Ubisoft,0.4,0.01,0.0,0.03,0.44
4316,4448,The Darkness,Microsoft Xbox 360,2007,Shooter,Take-Two Interactive,0.36,0.04,0.01,0.04,0.44
4317,4449,Gundam SEED: Federation vs. Z.A.F.T.,Sony PlayStation 2,2005,Shooter,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44
4318,4450,Ms. Pac-Man Maze Madness,Sony PlayStation,2000,Puzzle,Namco Bandai Games,0.25,0.17,0.0,0.03,0.44
4319,4451,Blood Omen: Legacy of Kain,Sony PlayStation,1996,Role-Playing,Crystal Dynamics,0.25,0.17,0.0,0.03,0.44
4320,4452,Super Bomberman 4,Super Nintendo Entertainment System,1996,Puzzle,Hudson Soft,0.0,0.0,0.44,0.0,0.44
4321,4453,Bomberman II,Nintendo Entertainment System,1991,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44
4322,4454,Duke Nukem 64,Nintendo 64,1997,Shooter,GT Interactive,0.35,0.08,0.0,0.01,0.44
4323,4455,Sin and Punishment: Star Successor,Nintendo Wii,2009,Shooter,Nintendo,0.2,0.14,0.06,0.04,0.44
4324,4456,Jump Start Pet Rescue,Nintendo Wii,2009,Misc,Knowledge Adventure,0.41,0.0,0.0,0.03,0.44
4325,4457,Naughty Bear,Sony PlayStation 3,2010,Action,505 Games,0.18,0.18,0.0,0.07,0.44
4326,4458,"SpongeBob SquarePants: Lights, Camera, Pants!",Nintendo GameCube,2005,Misc,THQ,0.34,0.09,0.0,0.01,0.44
4327,4459,Super Robot Taisen OG: Original Generations,Sony PlayStation 2,2007,Strategy,Banpresto,0.0,0.0,0.44,0.0,0.44
4328,4460,Army Men World War: Final Front,Sony PlayStation,2001,Action,3DO,0.24,0.17,0.0,0.03,0.44
4329,4461,Petz: Horsez 2,Nintendo DS,2007,Simulation,Ubisoft,0.41,0.0,0.0,0.03,0.44
4330,4462,Puppy Luv: Spa and Resort,Nintendo DS,2007,Simulation,Activision,0.4,0.0,0.0,0.03,0.44
4331,4463,Yu-Gi-Oh! 5D's Tag Force 4,Sony PlayStation Portable,2009,Strategy,Konami Digital Entertainment,0.19,0.07,0.12,0.06,0.44
4332,4464,MX Unleashed,Microsoft Xbox,2004,Racing,THQ,0.34,0.08,0.0,0.02,0.44
4333,4465,Jikkyou Powerful Pro Yakyuu 9,Sony PlayStation 2,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.44,0.0,0.44
4334,4466,Grind Session,Sony PlayStation,2000,Sports,Sony Computer Entertainment,0.24,0.17,0.0,0.03,0.44
4335,4467,Naruto: Gekito Ninja Taisen! 3,Nintendo GameCube,2004,Fighting,Tomy Corporation,0.0,0.0,0.43,0.01,0.44
4336,4468,Barbie: Groom and Glam Pups,Nintendo DS,2010,Action,THQ,0.26,0.14,0.0,0.04,0.44
4337,4469,Wario World,Nintendo GameCube,2003,Platform,Nintendo,0.34,0.09,0.0,0.01,0.44
4338,4470,Scooby-Doo! Mystery Mayhem,Nintendo Game Boy Advance,2003,Action,THQ,0.31,0.12,0.0,0.01,0.44
4339,4472,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,Sony PlayStation 2,2003,Misc,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44
4340,4473,Deer Drive,Nintendo DS,2010,Sports,Mastiff,0.41,0.0,0.0,0.02,0.44
4341,4475,Just Dance 4,Sony PlayStation 3,2012,Misc,Ubisoft,0.26,0.12,0.0,0.06,0.44
4342,4476,TimeSplitters 2,Nintendo GameCube,2002,Shooter,Eidos Interactive,0.34,0.09,0.0,0.01,0.44
4343,4477,Battlebots: Design & Destroy,Nintendo Game Boy Advance,2003,Action,Majesco Entertainment,0.31,0.12,0.0,0.01,0.44
4344,4478,Devil May Cry HD Collection,Microsoft Xbox 360,2012,Action,Capcom,0.28,0.11,0.01,0.03,0.44
4345,4479,Eternal Darkness: Sanity's Requiem,Nintendo GameCube,2002,Adventure,Nintendo,0.34,0.09,0.0,0.01,0.44
4346,4480,Power Rangers: S.P.D.,Nintendo Game Boy Advance,2004,Action,THQ,0.31,0.12,0.0,0.01,0.44
4347,4481,Naruto: Ultimate Ninja 3,Sony PlayStation 2,2005,Fighting,Atari,0.36,0.01,0.0,0.06,0.44
4348,4482,SingStar Motown,Sony PlayStation 2,2009,Misc,Sony Computer Entertainment,0.0,0.06,0.0,0.38,0.44
4349,4483,Neon Genesis Evangelion,Sega Saturn,1996,Adventure,Sega,0.0,0.0,0.44,0.0,0.44
4350,4484,Nicktoons: Attack of the Toybots,Nintendo Wii,2007,Platform,THQ,0.4,0.0,0.0,0.03,0.44
4351,4485,Mobile Suit Gundam: One Year War,Sony PlayStation 2,2005,Action,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44
4352,4486,Tongari Boushi to Mahou no Otana,Nintendo DS,2010,Simulation,Konami Digital Entertainment,0.0,0.0,0.44,0.0,0.44
4353,4487,NFL Blitz 20-03,Sony PlayStation 2,2002,Sports,Midway Games,0.21,0.17,0.0,0.06,0.44
4354,4488,Just Dance: Summer Party,Nintendo Wii,2011,Misc,Ubisoft,0.41,0.0,0.0,0.03,0.44
4355,4489,SpongeBob's Atlantis SquarePantis,Sony PlayStation 2,2007,Action,THQ,0.36,0.01,0.0,0.06,0.44
4356,4490,Dragon Ball Z: Shin Budokai - Another Road,Sony PlayStation Portable,2007,Fighting,Atari,0.19,0.09,0.08,0.07,0.44
4357,4491,Master of Illusion,Nintendo DS,2006,Puzzle,Nintendo,0.16,0.0,0.26,0.01,0.44
4358,4492,Star Wars: Jedi Starfighter,Microsoft Xbox,2002,Simulation,Activision,0.35,0.07,0.0,0.02,0.44
4359,4493,Remington Great American Bird Hunt,Nintendo Wii,2009,Sports,Mastiff,0.41,0.0,0.0,0.03,0.44
4360,4494,Classic NES Series: Metroid,Nintendo Game Boy Advance,2004,Adventure,Nintendo,0.26,0.1,0.07,0.01,0.43
4361,4495,Alpha Protocol,Sony PlayStation 3,2010,Role-Playing,Sega,0.19,0.18,0.0,0.07,0.43
